 Position.x[m] Position.y[m]
384999728.5348955393 457195.8625430671
384999720.7233496308 463727.2288716669
384999712.8010016680 470258.5950668072
384999704.7678517103 476789.9611266080
384999696.6238996983 483321.3270491899
384999688.3691457510 489852.6928326731
384999680.0035897493 496384.0584751778
384999671.5272317529 502915.4239748243
384999662.9400717616 509446.7893297330
384999654.2421097159 515978.1545380240
384999645.4333457351 522509.5195978178
384999636.5137797594 529040.8845072346
384999627.4834117293 535572.2492643945
384999618.3422417641 542103.6138674181
384999609.0902698040 548634.9783144256
384999599.7274958491 555166.3426035373
384999590.2539199591 561697.7067328732
384999580.6695420742 568229.0707005538
384999570.9743621349 574760.4345046997
384999561.1683803201 581291.7981434307
384999551.2515965104 587823.1616148673
384999541.2240107059 594354.5249171297
384999531.0856229067 600885.8880483384
384999520.8364332318 607417.2510066135
384999510.4764415026 613948.6137900753
384999500.0056478977 620479.9763968441
384999489.4240522981 627011.3388250405
384999478.7316548228 633542.7010727843
384999467.9284553528 640074.0631381959
384999457.0144538879 646605.4250193958
384999445.9896505475 653136.7867145042
384999434.8540452123 659668.1482216412
384999423.6076380014 666199.5095389273
384999412.2504288554 672730.8706644829
384999400.7824177742 679262.2315964282
384999389.2036047578 685793.5923328833
384999377.5139898062 692324.9528719685
384999365.7135729790 698856.3132118043
384999353.8023541570 705387.6733505109
384999341.7803335190 711919.0332862085
384999329.6475108862 718450.3930170175
384999317.4038864374 724981.7525410583
384999305.0494599938 731513.1118564510
384999292.5842317343 738044.4709613159
384999280.0082015991 744575.8298537733
384999267.3213694692 751107.1885319436
384999254.5237355828 757638.5469939469
384999241.6152997017 764169.9052379038
384999228.5960620046 770701.2632619343
384999215.4660224319 777232.6210641586
384999202.2251809835 783763.9786426973
384999188.8735376000 790295.3359956708
384999175.4110924602 796826.6931211988
384999161.8378453851 803358.0500174023
384999148.1537964940 809889.4066824008
384999134.3589457273 816420.7631143155
384999120.4532931447 822952.1193112660
384999106.4368386865 829483.4752713726
384999092.3095824122 836014.8309927562
384999078.0715242624 842546.1864735364
384999063.7226643562 849077.5417118338
384999049.2630025744 855608.8967057689
384999034.6925389767 862140.2514534616
384999020.0112735629 868671.6059530325
384999005.2192063332 875202.9602026015
384998990.3163372874 881734.3142002892
384998975.3026664257 888265.6679442161
384998960.1781938076 894797.0214325020
384998944.9429193139 901328.3746632674
384998929.5968431234 907859.7276346327
384998914.1399650574 914391.0803447182
384998898.5722852349 920922.4327916438
384998882.8938036561 927453.7849735303
384998867.1045203209 933985.1368884976
384998851.2044351101 940516.4885346664
384998835.1935482621 947047.8399101568
384998819.0718595982 953579.1910130888
384998802.8393691182 960110.5418415831
384998786.4960770011 966641.8923937599
384998770.0419830680 973173.2426677392
384998753.4770873785 979704.5926616415
384998736.8013899922 986235.9423735874
384998720.0148908496 992767.2918016966
384998703.1175900102 999298.6409440901
384998686.1094874144 1005829.9897988875
384998668.9905831218 1012361.3383642094
384998651.7608771324 1018892.6866381764
384998634.4203693867 1025424.0346189080
384998616.9690599442 1031955.3823045254
384998599.4069488049 1038486.7296931483
384998581.7340360284 1045018.0767828970
384998563.9503214955 1051549.4235718921
384998546.0558053255 1058080.7700582538
384998528.0504873991 1064612.1162401021
384998509.9343678951 1071143.4621155579
384998491.7074466348 1077674.8076827405
384998473.3697237968 1084206.1529397713
384998454.9211992621 1090737.4978847704
384998436.3618730903 1097268.8425158572
384998417.6917452812 1103800.1868311530
384998398.9108158350 1110331.5308287775
384998380.0190846920 1116862.8745068510
384998361.0165519714 1123394.2178634945
384998341.9032176137 1129925.5608968271
384998322.6790816188 1136456.9036049705
384998303.3441439867 1142988.2459860439
384998283.8984048367 1149519.5880381679
384998264.3418639898 1156050.9297594631
384998244.6745216250 1162582.2711480495
384998224.8963776231 1169113.6122020474
384998205.0074320436 1175644.9529195770
384998185.0076848865 1182176.2932987590
384998164.8971361518 1188707.6333377131
384998144.6757858992 1195238.9730345602
384998124.3436340094 1201770.3123874203
384998103.9006806016 1208301.6513944138
384998083.3469256163 1214832.9900536607
384998062.6823691130 1221364.3283632814
384998041.9070110321 1227895.6663213968
384998021.0208514333 1234427.0039261265
384998000.0238903165 1240958.3411755909
384997978.9161276817 1247489.6780679105
384997957.6975635886 1254021.0146012055
384997936.3681979179 1260552.3507735960
384997914.9280307293 1267083.6865832026
384997893.3770620823 1273615.0220281454
384997871.7152919173 1280146.3571065452
384997849.9427202940 1286677.6918165216
384997828.0593471527 1293209.0261561950
384997806.0651726127 1299740.3601236860
384997783.9601965547 1306271.6937171151
384997761.7444190383 1312803.0269346018
384997739.4178401232 1319334.3597742673
384997716.9804596901 1325865.6922342309
384997694.4322778583 1332397.0243126140
384997671.7732945681 1338928.3560075362
384997649.0035098791 1345459.6873171180
384997626.1229237914 1351991.0182394795
384997603.1315362453 1358522.3487727414
384997580.0293473005 1365053.6789150233
384997556.8163569570 1371585.0086644464
384997533.4925652146 1378116.3380191305
384997510.0579721332 1384647.6669771958
384997486.5125775933 1391178.9955367630
384997462.8563817143 1397710.3236959516
384997439.0893844962 1404241.6514528829
384997415.2115859389 1410772.9788056768
384997391.2229859829 1417304.3057524534
384997367.1235846281 1423835.6322913331
384997342.9133819938 1430366.9584204364
384997318.5923780203 1436898.2841378832
384997294.1605727673 1443429.6094417942
384997269.6179661751 1449960.9343302895
384997244.9645582438 1456492.2588014896
384997220.2003489733 1463023.5828535145
384997195.3253384829 1469554.9064844847
384997170.3395266533 1476086.2296925206
384997145.2429136038 1482617.5524757421
384997120.0354992151 1489148.8748322697
384997094.7172835469 1495680.1967602239
384997069.2882666588 1502211.5182577251
384997043.7484485507 1508742.8393228927
384997018.0978291631 1515274.1599538480
384996992.3364084959 1521805.4801487110
384996966.4641866088 1528336.7999056021
384996940.4811635613 1534868.1192226410
384996914.3873392344 1541399.4380979491
384996888.1827137470 1547930.7565296455
384996861.8672870398 1554462.0745158512
384996835.4410591125 1560993.3920546868
384996808.9040300250 1567524.7091442714
384996782.2561997771 1574056.0257827265
384996755.4975683689 1580587.3419681722
384996728.6281357408 1587118.6576987281
384996701.6479019523 1593649.9729725150
384996674.5568670630 1600181.2877876537
384996647.3550310135 1606712.6021422634
384996620.0423938632 1613243.9160344652
384996592.6189555526 1619775.2294623791
384996565.0847161412 1626306.5424241258
384996537.4396756291 1632837.8549178250
384996509.6838340163 1639369.1669415974
384996481.8171913028 1645900.4784935636
384996453.8397474885 1652431.7895718429
384996425.7515026331 1658963.1001745560
384996397.5524566770 1665494.4102998243
384996369.2426096797 1672025.7199457663
384996340.8219615817 1678557.0291105038
384996312.2905125022 1685088.3377921565
384996283.6482623816 1691619.6459888446
384996254.8952112198 1698150.9536986887
384996226.0313590765 1704682.2609198086
384996197.0567058325 1711213.5676503251
384996167.9712516665 1717744.8738883582
384996138.7749965191 1724276.1796320288
384996109.4679403305 1730807.4848794565
384996080.0500831604 1737338.7896287618
384996050.5214250684 1743870.0938780650
384996020.8819659948 1750401.3976254868
384995991.1317059994 1756932.7008691470
384995961.2706450224 1763464.0036071662
384995931.2987831235 1769995.3058376648
384995901.2161203027 1776526.6075587622
384995871.0226565003 1783057.9087685798
384995840.7183918953 1789589.2094652378
384995810.3033263087 1796120.5096468558
384995779.7774598598 1802651.8093115548
384995749.1407925487 1809183.1084574547
384995718.3933243155 1815714.4070826760
384995687.5350553393 1822245.7051853386
384995656.5659853816 1828777.0027635638
384995625.4861146212 1835308.2998154708
384995594.2954429984 1841839.5963391806
384995562.9939705729 1848370.8923328135
384995531.5816973448 1854902.1877944891
384995500.0586232543 1861433.4827223283
384995468.4247484207 1867964.7771144514
384995436.6800727248 1874496.0709689788
384995404.8245963454 1881027.3642840304
384995372.8583191037 1887558.6570577268
384995340.7812411189 1894089.9492881887
384995308.5933623910 1900621.2409735352
384995276.2946829796 1907152.5321118876
384995243.8852027059 1913683.8227013664
384995211.3649218082 1920215.1127400910
384995178.7338401079 1926746.4022261822
384995145.9919577241 1933277.6911577608
384995113.1392747164 1939808.9795329461
384995080.1757909656 1946340.2673498590
384995047.1015064716 1952871.5546066200
384995013.9164214134 1959402.8413013490
384994980.6205356121 1965934.1274321664
384994947.2138491869 1972465.4129971929
384994913.6963621378 1978996.6979945481
384994880.0680744648 1985527.9824223528
384994846.3289861083 1992059.2662787272
384994812.4790971875 1998590.5495617916
384994778.5184076428 2005121.8322696663
384994744.4469175339 2011653.1144004718
384994710.2646268010 2018184.3959523286
384994675.9715355039 2024715.6769233558
384994641.5676436424 2031246.9573116750
384994607.0529512763 2037778.2371154064
384994572.4274582863 2044309.5163326694
384994537.6911647916 2050840.7949615852
384994502.8440707922 2057372.0730002744
384994467.8861762881 2063903.3504468559
384994432.8174812794 2070434.6272994510
384994397.6379857063 2076965.9035561804
384994362.3476896882 2083497.1792151635
384994326.9465932250 2090028.4542745207
384994291.4346963167 2096559.7287323733
384994255.8119989038 2103091.0025868402
384994220.0785010457 2109622.2758360431
384994184.2342027426 2116153.5484781014
384994148.2791040540 2122684.8205111357
384994112.2132049799 2129216.0919332663
384994076.0365054011 2135747.3627426131
384994039.7490055561 2142278.6329372972
384994003.3507052660 2148809.9025154384
384993966.8416045904 2155341.1714751576
384993930.2217035890 2161872.4398145741
384993893.4910022020 2168403.7075318093
384993856.6495004892 2174934.9746249826
384993819.6971984506 2181466.2410922148
384993782.6340961456 2187997.5069316262
384993745.4601935148 2194528.7721413369
384993708.1754904985 2201060.0367194680
384993670.7799872756 2207591.3006641385
384993633.2736837864 2214122.5639734692
384993595.6565800309 2220653.8266455815
384993557.9286759496 2227185.0886785942
384993520.0899716616 2233716.3500706283
384993482.1404671669 2240247.6108198045
384993444.0801624656 2246778.8709242423
384993405.9090574980 2253310.1303820624
384993367.6271523833 2259841.3891913849
384993329.2344470620 2266372.6473503313
384993290.7309415340 2272903.9048570199
384993252.1166358590 2279435.1617095727
384993213.3915300965 2285966.4179061092
384993174.5556241274 2292497.6734447498
384993135.6089180112 2299028.9283236153
384993096.5514118075 2305560.1825408260
384993057.3831054568 2312091.4360945011
384993018.1039990187 2318622.6889827615
384992978.7140925527 2325153.9412037288
384992939.2133859396 2331685.1927555213
384992899.6018792987 2338216.4436362609
384992859.8795725703 2344747.6938440674
384992820.0464658141 2351278.9433770604
384992780.1025590897 2357810.1922333608
384992740.0478522778 2364341.4404110895
384992699.8823454380 2370872.6879083659
384992659.6060386896 2377403.9347233111
384992619.2189318538 2383935.1808540444
384992578.7210251689 2390466.4262986877
384992538.1123183966 2396997.6710553598
384992497.3928117752 2403528.9151221812
384992456.5625051260 2410060.1584972735
384992415.6213986278 2416591.4011787553
384992374.5694922209 2423122.6431647479
384992333.4067858458 2429653.8844533721
384992292.1332796216 2436185.1250427472
384992250.7489734888 2442716.3649309939
384992209.2538675666 2449247.6041162326
384992167.6479616761 2455778.8425965835
384992125.9312559962 2462310.0803701673
384992084.1037505269 2468841.3174351039
384992042.1654452085 2475372.5537895137
384992000.1163401008 2481903.7894315170
384991957.9564351439 2488435.0243592346
384991915.6857304573 2494966.2585707861
384991873.3042259812 2501497.4920642921
384991830.8119217753 2508028.7248378736
384991788.2088177800 2514559.9568896494
384991745.4949140549 2521091.1882177414
384991702.6702106595 2527622.4188202689
384991659.7347074747 2534153.6486953530
384991616.6884046793 2540684.8778411136
384991573.5313021541 2547216.1062556705
384991530.2633999586 2553747.3339371448
384991486.8846980929 2560278.5608836571
384991443.3951966166 2566809.7870933269
384991399.7948954701 2573341.0125642749
384991356.0837947130 2579872.2372946208
384991312.2618944049 2586403.4612824861
384991268.3291944265 2592934.6845259909
384991224.2856948376 2599465.9070232548
384991180.1313957572 2605997.1287723985
384991135.8662971258 2612528.3497715425
384991091.4903988838 2619059.5700188070
384991047.0037011504 2625590.7895123120
384991002.4062038660 2632122.0082501783
384990957.6979070902 2638653.2262305259
384990912.8788108230 2645184.4434514754
384990867.9489150643 2651715.6599111469
384990822.9082198739 2658246.8756076614
384990777.7567251921 2664778.0905391378
384990732.4944311380 2671309.3047036980
384990687.1213375330 2677840.5180994617
384990641.6374445558 2684371.7307245485
384990596.0427522063 2690902.9425770799
384990550.3372604847 2697434.1536551761
384990504.5209693313 2703965.3639569567
384990458.5938788652 2710496.5734805423
384990412.5559890270 2717027.7822240535
384990366.4072998166 2723558.9901856105
384990320.1478113532 2730090.1973633338
384990273.7775235176 2736621.4037553431
