 Position.x[m] Position.z[m]
384999999.6150363684 17216.9104742616
384999999.6104398370 17319.3920841585
384999999.6058160067 17421.8736940542
384999999.6011648774 17524.3553039486
384999999.5964865088 17626.8369138418
384999999.5917809010 17729.3185237338
384999999.5870479345 17831.8001336245
384999999.5822877288 17934.2817435140
384999999.5775002241 18036.7633534021
384999999.5726854205 18139.2449632890
384999999.5678433776 18241.7265731746
384999999.5629740357 18344.2081830590
384999999.5580774546 18446.6897929420
384999999.5531535745 18549.1714028237
384999999.5482023954 18651.6530127041
384999999.5432239771 18754.1346225832
384999999.5382182002 18856.6162324609
384999999.5331851840 18959.0978423373
384999999.5281249285 19061.5794522124
384999999.5230373740 19164.0610620861
384999999.5179225206 19266.5426719585
384999999.5127803683 19369.0242818295
384999999.5076109767 19471.5058916991
384999999.5024142861 19573.9875015673
384999999.4971903563 19676.4691114342
384999999.4919390678 19778.9507212996
384999999.4866605997 19881.4323311637
384999999.4813547730 19983.9139410264
384999999.4760217071 20086.3955508876
384999999.4706613421 20188.8771607474
384999999.4652737379 20291.3587706058
384999999.4598587751 20393.8403804627
384999999.4544165730 20496.3219903182
384999999.4489471316 20598.8036001723
384999999.4434503913 20701.2852100249
384999999.4379263520 20803.7668198760
384999999.4323750734 20906.2484297256
384999999.4267964363 21008.7300395738
384999999.4211905599 21111.2116494205
384999999.4155573845 21213.6932592656
384999999.4098970294 21316.1748691093
384999999.4042093158 21418.6564789515
384999999.3984943032 21521.1380887921
384999999.3927520514 21623.6196986313
384999999.3869825006 21726.1013084688
384999999.3811856508 21828.5829183049
384999999.3753615618 21931.0645281394
384999999.3695101738 22033.5461379724
384999999.3636315465 22136.0277478038
384999999.3577256203 22238.5093576336
384999999.3517923355 22340.9909674618
384999999.3458318710 22443.4725772885
384999999.3398440480 22545.9541871136
384999999.3338290453 22648.4357969370
384999999.3277866840 22750.9174067589
384999999.3217170835 22853.3990165792
384999999.3156201839 22955.8806263978
384999999.3094959855 23058.3622362148
384999999.3033445477 23160.8438460302
384999999.2971658111 23263.3254558439
384999999.2909598351 23365.8070656560
384999999.2847265005 23468.2886754665
384999999.2784659266 23570.7702852752
384999999.2721781135 23673.2518950823
384999999.2658630013 23775.7335048878
384999999.2595205903 23878.2151146915
384999999.2531508803 23980.6967244935
384999999.2467539310 24083.1783342939
384999999.2403296828 24185.6599440925
384999999.2338781357 24288.1415538895
384999999.2273993492 24390.6231636847
384999999.2208932638 24493.1047734781
384999999.2143599391 24595.5863832699
384999999.2077992558 24698.0679930599
384999999.2012113333 24800.5496028481
384999999.1945961714 24903.0312126346
384999999.1879536510 25005.5128224194
384999999.1812838912 25107.9944322023
384999999.1745868921 25210.4760419835
384999999.1678625345 25312.9576517629
384999999.1611109376 25415.4392615405
384999999.1543321013 25517.9208713163
384999999.1475259066 25620.4024810903
384999999.1406925321 25722.8840908625
384999999.1338317990 25825.3657006328
384999999.1269438267 25927.8473104013
384999999.1200285554 26030.3289201680
384999999.1130859852 26132.8105299329
384999999.1061161757 26235.2921396958
384999999.0991190672 26337.7737494570
384999999.0920946598 26440.2553592162
384999999.0850430131 26542.7369689736
384999999.0779640675 26645.2185787291
384999999.0708578229 26747.7001884828
384999999.0637243390 26850.1817982345
384999999.0565635562 26952.6634079843
