Time[s] Mass[kg] Fuel[kg] FuelUsage[kg/s] Posx(t)[m] Posy(t)[m] Posz(t)[m] Velx(t)[m/s] Vely(t)[m/s] Velz(t)[m/s] EngineFx[N] EngineFy[N] EngineFz[N] NetFx[N] NetFy[N] NetFz[N] EKinx[J] EKiny[J] EKinz[J] EPotx[J] EPoty[J] EPotz[J] Method
0 10000 0 0 6382195.091 0 0 11190.18221 0 0 0 0 0 -98177.86267 0 0 55950911.07 0 0 -6.243939809e+11 0 0 3
1 10000 0 0 6393380.382 0 0 11180.39884 0 0 0 0 0 -97833.73463 0 0 55901994.2 0 0 -6.243939809e+11 0 0 3
2 10000 0 0 6404555.906 0 0 11170.64967 0 0 0 0 0 -97491.71165 0 0 55853248.35 0 0 -6.233015966e+11 0 0 3
3 10000 0 0 6415721.698 0 0 11160.93449 0 0 0 0 0 -97151.77538 0 0 55804672.46 0 0 -6.222139768e+11 0 0 3
4 10000 0 0 6426877.792 0 0 11151.2531 0 0 0 0 0 -96813.90768 0 0 55756265.5 0 0 -6.211310882e+11 0 0 3
5 10000 0 0 6438024.221 0 0 11141.60529 0 0 0 0 0 -96478.09062 0 0 55708026.46 0 0 -6.20052898e+11 0 0 3
6 10000 0 0 6449161.019 0 0 11131.99086 0 0 0 0 0 -96144.30645 0 0 55659954.31 0 0 -6.189793736e+11 0 0 3
7 10000 0 0 6460288.219 0 0 11122.40961 0 0 0 0 0 -95812.53765 0 0 55612048.04 0 0 -6.179104829e+11 0 0 3
8 10000 0 0 6471405.855 0 0 11112.86133 0 0 0 0 0 -95482.76687 0 0 55564306.65 0 0 -6.168461939e+11 0 0 3
9 10000 0 0 6482513.958 0 0 11103.34583 0 0 0 0 0 -95154.97696 0 0 55516729.16 0 0 -6.15786475e+11 0 0 3
10 10000 0 0 6493612.563 0 0 11093.86292 0 0 0 0 0 -94829.15098 0 0 55469314.59 0 0 -6.147312949e+11 0 0 3
11 10000 0 0 6504701.7 0 0 11084.41239 0 0 0 0 0 -94505.27216 0 0 55422061.95 0 0 -6.136806225e+11 0 0 3
12 10000 0 0 6515781.404 0 0 11074.99406 0 0 0 0 0 -94183.3239 0 0 55374970.29 0 0 -6.126344271e+11 0 0 3
13 10000 0 0 6526851.704 0 0 11065.60773 0 0 0 0 0 -93863.28982 0 0 55328038.65 0 0 -6.115926783e+11 0 0 3
14 10000 0 0 6537912.635 0 0 11056.25321 0 0 0 0 0 -93545.1537 0 0 55281266.07 0 0 -6.105553459e+11 0 0 3
15 10000 0 0 6548964.227 0 0 11046.93032 0 0 0 0 0 -93228.89949 0 0 55234651.62 0 0 -6.095223999e+11 0 0 3
16 10000 0 0 6560006.511 0 0 11037.63887 0 0 0 0 0 -92914.51134 0 0 55188194.36 0 0 -6.084938109e+11 0 0 3
17 10000 0 0 6571039.52 0 0 11028.37868 0 0 0 0 0 -92601.97355 0 0 55141893.38 0 0 -6.074695494e+11 0 0 3
18 10000 0 0 6582063.284 0 0 11019.14955 0 0 0 0 0 -92291.2706 0 0 55095747.74 0 0 -6.064495865e+11 0 0 3
19 10000 0 0 6593077.835 0 0 11009.95131 0 0 0 0 0 -91982.38715 0 0 55049756.55 0 0 -6.054338933e+11 0 0 3
20 10000 0 0 6604083.202 0 0 11000.78378 0 0 0 0 0 -91675.30801 0 0 55003918.89 0 0 -6.044224412e+11 0 0 3
21 10000 0 0 6615079.417 0 0 10991.64678 0 0 0 0 0 -91370.01815 0 0 54958233.89 0 0 -6.034152021e+11 0 0 3
22 10000 0 0 6626066.511 0 0 10982.54013 0 0 0 0 0 -91066.50273 0 0 54912700.63 0 0 -6.024121478e+11 0 0 3
23 10000 0 0 6637044.513 0 0 10973.46365 0 0 0 0 0 -90764.74704 0 0 54867318.26 0 0 -6.014132507e+11 0 0 3
24 10000 0 0 6648013.453 0 0 10964.41718 0 0 0 0 0 -90464.73654 0 0 54822085.89 0 0 -6.004184833e+11 0 0 3
25 10000 0 0 6658973.362 0 0 10955.40053 0 0 0 0 0 -90166.45686 0 0 54777002.66 0 0 -5.994278182e+11 0 0 3
26 10000 0 0 6669924.269 0 0 10946.41354 0 0 0 0 0 -89869.89376 0 0 54732067.72 0 0 -5.984412286e+11 0 0 3
27 10000 0 0 6680866.204 0 0 10937.45604 0 0 0 0 0 -89575.03315 0 0 54687280.2 0 0 -5.974586875e+11 0 0 3
28 10000 0 0 6691799.196 0 0 10928.52785 0 0 0 0 0 -89281.86113 0 0 54642639.27 0 0 -5.964801686e+11 0 0 3
29 10000 0 0 6702723.274 0 0 10919.62882 0 0 0 0 0 -88990.36389 0 0 54598144.09 0 0 -5.955056455e+11 0 0 3
30 10000 0 0 6713638.468 0 0 10910.75876 0 0 0 0 0 -88700.52781 0 0 54553793.82 0 0 -5.945350922e+11 0 0 3
31 10000 0 0 6724544.806 0 0 10901.91753 0 0 0 0 0 -88412.3394 0 0 54509587.65 0 0 -5.935684828e+11 0 0 3
32 10000 0 0 6735442.317 0 0 10893.10495 0 0 0 0 0 -88125.78531 0 0 54465524.76 0 0 -5.926057919e+11 0 0 3
33 10000 0 0 6746331.03 0 0 10884.32087 0 0 0 0 0 -87840.85232 0 0 54421604.34 0 0 -5.916469939e+11 0 0 3
34 10000 0 0 6757210.973 0 0 10875.56511 0 0 0 0 0 -87557.52738 0 0 54377825.57 0 0 -5.906920639e+11 0 0 3
35 10000 0 0 6768082.175 0 0 10866.83753 0 0 0 0 0 -87275.79753 0 0 54334187.67 0 0 -5.897409768e+11 0 0 3
36 10000 0 0 6778944.662 0 0 10858.13797 0 0 0 0 0 -86995.65 0 0 54290689.85 0 0 -5.88793708e+11 0 0 3
37 10000 0 0 6789798.464 0 0 10849.46626 0 0 0 0 0 -86717.07211 0 0 54247331.31 0 0 -5.878502331e+11 0 0 3
38 10000 0 0 6800643.609 0 0 10840.82226 0 0 0 0 0 -86440.05132 0 0 54204111.29 0 0 -5.869105277e+11 0 0 3
39 10000 0 0 6811480.123 0 0 10832.2058 0 0 0 0 0 -86164.57523 0 0 54161029 0 0 -5.859745679e+11 0 0 3
40 10000 0 0 6822308.034 0 0 10823.61674 0 0 0 0 0 -85890.63158 0 0 54118083.68 0 0 -5.850423297e+11 0 0 3
41 10000 0 0 6833127.37 0 0 10815.05492 0 0 0 0 0 -85618.2082 0 0 54075274.58 0 0 -5.841137896e+11 0 0 3
