Time[s] Mass[kg] Fuel[kg] FuelUsage[kg/s] Posx(t)[m] Posy(t)[m] Posz(t)[m] Velx(t)[m/s] Vely(t)[m/s] Velz(t)[m/s] EngineFx[N] EngineFy[N] EngineFz[N] NetFx[N] NetFy[N] NetFz[N] EKinx[J] EKiny[J] EKinz[J] EPotx[J] EPoty[J] EPotz[J] Method
450 1000 0 0 465000 0 0 1000 0 0 0 0 0 -3.223084169e-14 0 0 500000 0 0 -1.466503297e-08 0 0 3
460 1000 0 0 475000 0 0 1000 0 0 0 0 0 -3.085947508e-14 0 0 500000 0 0 -1.434965591e-08 0 0 3
470 1000 0 0 485000 0 0 1000 0 0 0 0 0 -2.957380609e-14 0 0 500000 0 0 -1.404755789e-08 0 0 3
480 1000 0 0 495000 0 0 1000 0 0 0 0 0 -2.836684026e-14 0 0 500000 0 0 -1.375791753e-08 0 0 3
490 1000 0 0 505000 0 0 1000 0 0 0 0 0 -2.723228242e-14 0 0 500000 0 0 -1.34799798e-08 0 0 3
500 1000 0 0 515000 0 0 1000 0 0 0 0 0 -2.616445447e-14 0 0 500000 0 0 -1.32130495e-08 0 0 3
510 1000 0 0 525000 0 0 1000 0 0 0 0 0 -2.515822415e-14 0 0 500000 0 0 -1.295648544e-08 0 0 3
520 1000 0 0 535000 0 0 1000 0 0 0 0 0 -2.420894331e-14 0 0 500000 0 0 -1.270969524e-08 0 0 3
530 1000 0 0 545000 0 0 1000 0 0 0 0 0 -2.33123941e-14 0 0 500000 0 0 -1.247213084e-08 0 0 3
540 1000 0 0 555000 0 0 1000 0 0 0 0 0 -2.246474203e-14 0 0 500000 0 0 -1.22432844e-08 0 0 3
